,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
2,SS,11,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2', 'B3', 'B3_3']",1,6,1e-06,-0.16738580878470896,0.5432809185486192,0.5128329797851937,0.8034423035698083,3.754235254479642,2.679077803033825,0.48887797984416087,-0.2682956255890494,0.33271501656833696,5.192697126955233,4.486814490491909,0.5377266450382512
3,SS,11,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2', 'B5', 'LH_B2B3B4']",1,4,0.09999999999999999,-0.45835876028266986,0.19662355441035728,0.15717203252872303,0.5110822516010327,4.499831949944916,3.0482121700602347,0.498480362168133,0.1246998795321207,0.5214135151325815,6.4871138563347746,3.45549098567504,0.4748698621984802
4,SS,11,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2', 'B3_3', 'B3']",1,5,1e-06,-0.32778352288983015,0.23900499755091553,0.20942568650165783,0.5457458142388611,4.804713347733735,3.1779809163273973,0.5000472121441522,0.0855248503904592,0.5513140410702859,5.435832655697822,4.804568930181927,0.8918451483183533
0,SS,12,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A', 'NR_B12B3', 'NR_B12B2', 'LH_B2B3B4']",1,2,1e-06,-1.7843662647932927,0.32402814809497393,0.14768766498931496,0.5299615204672387,2.254088437938619,1.981052434845809,0.61178646715439,-0.7795788275223696,-0.11379372521101566,2.3611247338946426,1.8307607357984461,0.3966109670936259
1,SS,12,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7', 'B2', 'LH_B2B3B4', 'B4']",1,8,1e-06,0.008047760875300925,0.3020653073580646,0.22230134248470057,0.48688120652523315,2.1346886483039387,1.8267023085401939,0.4858319169208723,-0.4206784851177403,0.6373875626460772,7.45350011481822,4.875852384870374,0.5422419747043192
2,SS,12,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2', 'B3', 'B3_3', 'B4_3']",1,2,1e-06,-0.07134324587507308,0.4463459878742513,0.40583471869431853,0.7917244213831022,4.038438508161122,2.6921781519047774,0.4869717030758438,-0.08912634898437233,0.30973037215394517,4.817432157930689,3.8665186055396044,0.4843412499778156
3,SS,12,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2', 'B5', 'LH_B2B3B4', 'B4_3']",1,"(6, 6)",1e-06,-0.46915749045492516,0.00695292215210408,-0.04648458876347772,0.39762925997647586,4.825989368227216,3.0884538077137327,0.5026359582754696,-0.0034519499811471732,0.26909016191679336,6.914111380700832,3.4791484053294135,0.47343888563548203
4,SS,12,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2', 'B3_3', 'B3', 'LH_B7B8AB11']",1,2,1e-06,-0.3307855243258072,0.19843466205085414,0.16432549873386926,0.5101334467095574,4.912555502772937,3.132358614770122,0.4941018313712395,0.1188197916627578,0.5707590989992115,5.416297654171758,4.729434461118074,0.8853898770169418
0,Tur,4,"['LH_B2B3B4', 'NR_B3B7', 'NR_B2B7', 'NR_B3B6']",1,6,1e-06,-0.7502287556449848,-0.03437657112916104,-0.11099705787946923,-0.23434300097956265,1.8098257732759035,1.530556773555852,0.612906177847158,-0.17667343636891264,0.008496449055538148,4.00907466296453,2.083153150950584,0.4482322712502088
1,Tur,4,"['B3_3', 'B2_3', 'B1_3', 'LH_B4B5B6']",1,5,0.001,-0.09135082020358176,-0.10075629804899822,-0.1397211227586974,2.3822022238629626e-16,3.0174699607603017,1.8334673944268889,0.5289185893077669,-0.08057708476514636,1.2053503726620075e-16,7.796305999962068,3.859781671933353,0.7043002852784003
2,Tur,4,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2']",1,10,1e-06,0.015457624041078376,0.32401632014971005,0.3082957694555173,0.6971365724469957,4.31443878447605,2.6312264448712512,0.62525266365036,0.27743051173142674,0.436870340719368,3.5484722909562674,2.5693219725442926,0.6038791334677813
3,Tur,4,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2']",1,10,0.09999999999999999,0.005847233100864324,0.08241998186855504,0.06653115038575941,0.6151551882664833,4.731965987139505,2.6895393124128875,0.6236591079575036,-0.018001186845339356,0.5651728306050442,5.313510714751427,3.001509439166979,0.4895772215696152
4,Tur,4,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2']",1,4,0.01,0.05249522783333804,0.31880979562684275,0.30941406866997156,0.597408941050864,4.284736361493782,2.897032675469134,0.6290096175321319,-0.17334284192299987,0.5970982908480409,2.1138111041398493,1.6837047357016035,0.3801940500004174
0,Tur,5,"['LH_B2B3B4', 'NR_B3B7', 'NR_B2B7', 'NR_B3B6', 'NR_B1B7']",1,5,1e-06,-0.2865445883731773,0.3543120082117981,0.29339804672234504,0.6597299465752258,1.5689220456546076,1.286406683615735,0.5449515147353841,-0.18296511957318784,-0.04622543659002199,3.9313808964021573,2.0249205786735893,0.43217596674275777
1,Tur,5,"['B3_3', 'B2_3', 'B1_3', 'LH_B4B5B6', 'LH_B5B6B7']",1,5,1e-06,-0.04652480012578848,-0.004852478016863282,-0.04971196364261621,-0.09626661466252916,3.01884143332748,1.8352002979918711,0.5292591370791572,-0.03749773170436255,0.6219988643532207,7.763046644253722,3.8496812913142273,0.7031053726032368
2,Tur,5,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2', 'B3_3']",1,2,0.09999999999999999,-0.17360096890111498,0.29434756775061566,0.27371445569654007,0.6696795679721776,4.417632311567581,2.7309351022406663,0.641306443388992,0.17310408835151336,0.3162287062007566,3.7344134772065285,2.68921723934922,0.6209466343972538
