,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
4,SS,6,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3']",1,0.4127569794654846,0.6826212908723959,0.5299473338013883,1.6905526495363843,1.0235837697982788,1.0274695982547684,0.9074428873077308,1.934097631765466
0,SS,7,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6']",1,0.10061179846525192,0.662741180795729,0.5629216803119897,1.9695842984857481,0.16887764632701874,0.4741548006989537,0.41022394008452984,2.0
1,SS,7,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3']",1,0.1596098393201828,0.5764019885100079,0.48769051498171556,2.0,2.069627046585083,1.332598445246087,0.8023497259276295,2.0
2,SS,7,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2']",1,0.42302531003952026,0.745446310255123,0.5319405690171615,1.7514516844748078,0.48453623056411743,0.6963435732155069,0.4778220983588704,1.1987204203922341
3,SS,7,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3']",1,0.3256427049636841,0.6191529637124797,0.5036075291124859,1.7174789709770544,0.786375105381012,0.8927405178886181,0.6561420515837145,1.76455275658326
4,SS,7,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5']",1,0.4251280725002289,0.6879109880431415,0.5309135197411476,1.718324958099618,0.973037600517273,0.9898052206008408,0.883852363210868,1.9215518018642603
0,SS,8,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6']",1,0.0962478443980217,0.6627360007401409,0.56279144831891,1.9683034527964376,0.19126355648040771,0.4741548006989537,0.41022394008452984,2.0
1,SS,8,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2']",1,0.18709084391593933,0.5764019885100079,0.48769051498171556,2.0,2.107675313949585,1.332598445246087,0.8023497259276295,2.0
2,SS,8,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4']",1,0.5028941035270691,0.7924212814290476,0.5436718436751834,1.7801988554191663,0.44611823558807373,0.6656312830993794,0.4577386431357418,1.3266917278505765
3,SS,8,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4']",1,0.3231125473976135,0.6168108885475958,0.5022642403833733,1.7130266856608678,0.7977433204650879,0.9017762410716771,0.6637957837780735,1.765360384800161
4,SS,8,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4']",1,0.4162844717502594,0.6830967804701058,0.5341787144203451,1.6875080654797863,0.8869127035140991,0.9615732491249449,0.8641208534116988,1.9055290291724987
0,SS,9,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A']",1,0.149261474609375,0.6628340283419596,0.563942119281125,1.97921129141564,0.17395088076591492,0.4741548006989537,0.41022394008452984,2.0
1,SS,9,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7']",1,0.18075557053089142,0.5763621303376548,0.4875406032070459,1.9966645769578917,1.9027100801467896,1.3061409061993754,0.7939420614265686,1.9921977539001523
2,SS,9,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2']",1,0.45918726921081543,0.7643524352396918,0.544961105613046,1.8216931128399523,0.46095940470695496,0.6767923282236449,0.43956543420346456,1.3805503706933695
3,SS,9,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2']",1,0.435074120759964,0.6964128396643521,0.5436407633079996,1.7334488790766698,0.7772554755210876,0.8889594187301245,0.6001267718455382,1.7748790795618294
4,SS,9,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2']",1,0.4273655414581299,0.6894150602959992,0.5404212538935419,1.7201026484946953,0.901814877986908,0.968138471040716,0.8673584577489223,1.9016418576316805
0,SS,10,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A', 'NR_B12B3']",1,0.13259652256965637,0.6627045235095713,0.5631197086507509,1.9683738067431211,0.17416365444660187,0.47612696142449057,0.4114200685428196,2.0
1,SS,10,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7', 'B2']",1,0.1855451911687851,0.5764019885100079,0.48769051498171556,2.0,1.9613171815872192,1.3157800427226765,0.7972502641822219,1.9953238916501395
2,SS,10,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2', 'B3']",1,0.6985619068145752,0.8872094680764911,0.5884976901212412,1.9837317717675813,0.7381554245948792,0.8562497712690506,0.5050763431338886,1.9436683894713458
3,SS,10,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2', 'B5']",1,0.47632527351379395,0.7257056117037379,0.5604638812811734,1.7080068250582547,0.8246825933456421,0.9144462636546437,0.595045704794368,1.774465318553612
4,SS,10,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2', 'B3_3']",1,0.4264465868473053,0.6858777070433267,0.524403877836475,1.728271073719276,1.0599437952041626,1.0009777360292706,0.8913779445722467,1.9304552364904144
